language_code,month_num,day_num,theme_month,category,phrase,explanation,micro_action
de,8,12,Nahrungsergänzungsmittel und Naturmedizin,Ergänzung,Veterinäre Phytotherapie ist eine echte Ressource.,Richtig verwendete Heilkräuter können die Gelenktherapie unterstützen.,Konsultiere einen in Phytotherapie ausgebildeten Tierarzt für einen personalisierten Kräuterplan.
fr,8,12,Compléments et médecine naturelle,intégration,La phytothérapie vétérinaire est une ressource réelle.,Les herbes médicinales utilisées correctement peuvent soutenir la thérapie articulaire.,Consultez un vétérinaire formé en phytothérapie pour un plan herbal personnalisé.
it,8,13,Integratori e medicina naturale,integrazione,L'artiglio del diavolo ha effetti analgesici naturali.,Usato tradizionalmente per il dolore articolare ha prove scientifiche di efficacia.,Chiedi al vet se l'artiglio del diavolo è indicato e al dosaggio corretto.
en,8,13,Supplements and natural medicine,integration,Devil's claw has natural analgesic effects.,Traditionally used for joint pain it has scientific evidence of effectiveness.,Ask the vet if devil's claw is indicated and at the correct dosage.
de,8,13,Nahrungsergänzungsmittel und Naturmedizin,Ergänzung,Teufelskralle hat natürliche schmerzlindernde Wirkungen.,Traditionell bei Gelenkschmerzen verwendet hat sie wissenschaftliche Belege für Wirksamkeit.,Frage den Tierarzt ob Teufelskralle angezeigt ist und die richtige Dosierung.
fr,8,13,Compléments et médecine naturelle,intégration,La griffe du diable a des effets analgésiques naturels.,Traditionnellement utilisée pour la douleur articulaire elle a des preuves scientifiques d'efficacité.,Demandez au vétérinaire si la griffe du diable est indiquée et au dosage correct.
it,8,14,Integratori e medicina naturale,prevenzione,Il MSM supporta il tessuto connettivo sano.,Il metilsulfonilmetano aiuta la formazione del cartilagine anche prima che compaiano i sintomi.,Chiedi al vet del MSM come integratore preventivo per i cani sani a rischio.
en,8,14,Supplements and natural medicine,prevention,MSM supports healthy connective tissue.,Methylsulfonylmethane helps cartilage formation even before symptoms appear.,Ask the vet about MSM as a preventive supplement for healthy at-risk dogs.
de,8,14,Nahrungsergänzungsmittel und Naturmedizin,Prävention,MSM unterstützt gesundes Bindegewebe.,Methylsulfonylmethan hilft bei der Knorpelbildung auch bevor Symptome auftreten.,Frage den Tierarzt nach MSM als präventivem Ergänzungsmittel für gesunde Risikohunde.
fr,8,14,Compléments et médecine naturelle,prévention,Le MSM soutient le tissu conjonctif sain.,La méthylsulfonylméthane aide à la formation du cartilage même avant l'apparition des symptômes.,Demandez au vétérinaire le MSM comme complément préventif pour les chiens sains à risque.
it,8,15,Integratori e medicina naturale,integrazione,La vitamina E è antiossidante e protettiva per le articolazioni.,Riduce lo stress ossidativo che danneggia la cartilagine e i tessuti articolari.,Verifica il contenuto di vitamina E nel cibo scelto e valuta l'integrazione con il vet.
en,8,15,Supplements and natural medicine,integration,Vitamin E is antioxidant and protective for the joints.,It reduces oxidative stress that damages cartilage and joint tissues.,Check the vitamin E content in the chosen food and evaluate supplementation with the vet.
de,8,15,Nahrungsergänzungsmittel und Naturmedizin,Ergänzung,Vitamin E ist antioxidativ und schützend für die Gelenke.,Es reduziert oxidativen Stress der Knorpel und Gelenkgewebe schädigt.,Überprüfe den Vitamin-E-Gehalt im gewählten Futter und bewerte die Ergänzung mit dem Tierarzt.
fr,8,15,Compléments et médecine naturelle,intégration,La vitamine E est antioxydante et protectrice pour les articulations.,Elle réduit le stress oxydatif qui endommage le cartilage et les tissus articulaires.,Vérifiez la teneur en vitamine E dans la nourriture choisie et évaluez la supplémentation avec le vétérinaire.
it,8,16,Integratori e medicina naturale,prevenzione,I probiotici riducono l'infiammazione sistemica.,L'asse intestino-articolazione è un concetto emergente: un intestino sano protegge le cartilagini.,Chiedi al vet dei probiotici specifici per cani come strumento preventivo.
en,8,16,Supplements and natural medicine,prevention,Probiotics reduce systemic inflammation.,The gut-joint axis is an emerging concept: a healthy gut protects cartilage.,Ask the vet about specific probiotics for dogs as a preventive tool.
de,8,16,Nahrungsergänzungsmittel und Naturmedizin,Prävention,Probiotika reduzieren systemische Entzündungen.,Die Darm-Gelenk-Achse ist ein aufkommendes Konzept: ein gesunder Darm schützt den Knorpel.,Frage den Tierarzt nach spezifischen Probiotika für Hunde als präventives Werkzeug.
fr,8,16,Compléments et médecine naturelle,prévention,Les probiotiques réduisent l'inflammation systémique.,L'axe intestin-articulation est un concept émergent: un intestin sain protège les cartilages.,Demandez au vétérinaire des probiotiques spécifiques pour chiens comme outil préventif.
it,8,17,Integratori e medicina naturale,integrazione,Non eccedere con gli integratori è regola d'oro.,Troppi integratori possono interferire tra loro e con i farmaci riducendone l'efficacia.,Fai una lista completa di tutto ciò che dai e condividila con il vet ad ogni visita.
en,8,17,Supplements and natural medicine,integration,Not overdoing supplements is a golden rule.,Too many supplements can interfere with each other and with medications reducing effectiveness.,Make a complete list of everything you give and share it with the vet at every visit.
de,8,17,Nahrungsergänzungsmittel und Naturmedizin,Ergänzung,Es nicht zu übertreiben mit Nahrungsergänzungsmitteln ist eine goldene Regel.,Zu viele Nahrungsergänzungsmittel können sich gegenseitig und mit Medikamenten beeinflussen und deren Wirksamkeit reduzieren.,Erstelle eine vollständige Liste von allem was du gibst und teile sie bei jedem Besuch mit dem Tierarzt.
fr,8,17,Compléments et médecine naturelle,intégration,Ne pas exagérer avec les compléments est une règle d'or.,Trop de compléments peuvent interférer entre eux et avec les médicaments en réduisant l'efficacité.,Faites une liste complète de tout ce que vous donnez et partagez-la avec le vétérinaire à chaque visite.
it,8,18,Integratori e medicina naturale,prevenzione,I cani sani possono prevenire con integratori mirati.,La prevenzione nutrizionale inizia prima dei sintomi: aspettare è perdere tempo prezioso.,Chiedi al vet integratori preventivi adatti alla razza e all'età del tuo cane sano.
en,8,18,Supplements and natural medicine,prevention,Healthy dogs can prevent with targeted supplements.,Nutritional prevention starts before symptoms: waiting means losing precious time.,Ask the vet about preventive supplements suited to your healthy dog's breed and age.
de,8,18,Nahrungsergänzungsmittel und Naturmedizin,Prävention,Gesunde Hunde können mit gezielten Ergänzungsmitteln vorbeugen.,Nutritive Prävention beginnt vor den Symptomen: zu warten bedeutet wertvolle Zeit zu verlieren.,Frage den Tierarzt nach präventiven Ergänzungsmitteln die für Rasse und Alter deines gesunden Hundes geeignet sind.
fr,8,18,Compléments et médecine naturelle,prévention,Les chiens sains peuvent prévenir avec des compléments ciblés.,La prévention nutritionnelle commence avant les symptômes: attendre c'est perdre un temps précieux.,Demandez au vétérinaire des compléments préventifs adaptés à la race et à l'âge de votre chien sain.
it,8,19,Integratori e medicina naturale,integrazione,Il CBD veterinario è in fase di studio avanzato.,I risultati preliminari suggeriscono benefici reali sul dolore e sull'infiammazione articolare.,Informa il vet se stai considerando il CBD e aspetta il suo parere prima di usarlo.
en,8,19,Supplements and natural medicine,integration,Veterinary CBD is in advanced study phase.,Preliminary results suggest real benefits on joint pain and inflammation.,Inform the vet if you are considering CBD and wait for their opinion before using it.
de,8,19,Nahrungsergänzungsmittel und Naturmedizin,Ergänzung,Veterinäres CBD befindet sich in einer fortgeschrittenen Studienphase.,Vorläufige Ergebnisse deuten auf echte Vorteile bei Gelenkschmerzen und Entzündungen hin.,Informiere den Tierarzt wenn du CBD in Betracht ziehst und warte auf seine Meinung bevor du es verwendest.
fr,8,19,Compléments et médecine naturelle,intégration,Le CBD vétérinaire est en phase d'étude avancée.,Les résultats préliminaires suggèrent de réels bénéfices sur la douleur et l'inflammation articulaire.,Informez le vétérinaire si vous envisagez le CBD et attendez son avis avant de l'utiliser.
it,8,20,Integratori e medicina naturale,integrazione,La vitamina C supporta la sintesi del collagene.,Anche se il cane la produce da solo in caso di stress ossidativo può essere utile integrarla.,Chiedi al vet se la vitamina C è indicata per il tuo cane.
en,8,20,Supplements and natural medicine,integration,Vitamin C supports collagen synthesis.,Even though dogs produce it themselves supplementation can be useful in cases of oxidative stress.,Ask the vet if vitamin C is indicated for your dog.
de,8,20,Nahrungsergänzungsmittel und Naturmedizin,Ergänzung,Vitamin C unterstützt die Kollagensynthese.,Obwohl Hunde es selbst produzieren kann eine Ergänzung bei oxidativem Stress nützlich sein.,Frage den Tierarzt ob Vitamin C für deinen Hund angezeigt ist.
fr,8,20,Compléments et médecine naturelle,intégration,La vitamine C soutient la synthèse du collagène.,Même si le chien la produit lui-même la complémentation peut être utile en cas de stress oxydatif.,Demandez au vétérinaire si la vitamine C est indiquée pour votre chien.
it,8,21,Integratori e medicina naturale,integrazione,Gli integratori vanno rivalutati ogni 3-6 mesi.,L'efficacia cambia con la progressione della malattia e con i cambiamenti stagionali.,Rivaluta con il vet gli integratori in uso ogni 3-6 mesi e aggiusta il piano.
en,8,21,Supplements and natural medicine,integration,Supplements should be reassessed every 3-6 months.,Effectiveness changes with disease progression and seasonal changes.,Reassess current supplements with the vet every 3-6 months and adjust the plan.
de,8,21,Nahrungsergänzungsmittel und Naturmedizin,Ergänzung,Nahrungsergänzungsmittel sollten alle 3-6 Monate neu bewertet werden.,Wirksamkeit ändert sich mit dem Krankheitsverlauf und mit saisonalen Veränderungen.,Bewerte aktuelle Nahrungsergänzungsmittel alle 3-6 Monate mit dem Tierarzt neu und passe den Plan an.
fr,8,21,Compléments et médecine naturelle,intégration,Les compléments doivent être réévalués tous les 3-6 mois.,L'efficacité change avec la progression de la maladie et les changements saisonniers.,Réévaluez les compléments en cours avec le vétérinaire tous les 3-6 mois et ajustez le plan.
it,8,22,Integratori e medicina naturale,integrazione,Il manganese è un micronutriente essenziale per le articolazioni.,Supporta la sintesi dei proteoglicani nella matrice del cartilagine articolare.,Controlla che la dieta del tuo cane contenga micronutrienti bilanciati incluso il manganese.
en,8,22,Supplements and natural medicine,integration,Manganese is an essential micronutrient for the joints.,It supports the synthesis of proteoglycans in the articular cartilage matrix.,Check that your dog's diet contains balanced micronutrients including manganese.
de,8,22,Nahrungsergänzungsmittel und Naturmedizin,Ergänzung,Mangan ist ein essentieller Mikronährstoff für die Gelenke.,Es unterstützt die Synthese von Proteoglykanen in der Gelenkknorpelmatrix.,Überprüfe ob die Diät deines Hundes ausgewogene Mikronährstoffe einschließlich Mangan enthält.
fr,8,22,Compléments et médecine naturelle,intégration,Le manganèse est un micronutriment essentiel pour les articulations.,Il soutient la synthèse des protéoglycanes dans la matrice du cartilage articulaire.,Vérifiez que l'alimentation de votre chien contient des micronutriments équilibrés dont le manganèse.
it,8,23,Integratori e medicina naturale,integrazione,La medicina integrata funziona meglio della singola terapia.,Combinare approcci diversi in modo sinergico dà risultati superiori alla monoterapia.,Costruisci un piano integrato che unisca farmaci fisioterapia e integratori con il vet.
en,8,23,Supplements and natural medicine,integration,Integrated medicine works better than single therapy.,Combining different approaches synergistically gives results superior to monotherapy.,Build an integrated plan combining medications physiotherapy and supplements with the vet.
de,8,23,Nahrungsergänzungsmittel und Naturmedizin,Ergänzung,Integrierte Medizin funktioniert besser als Einzeltherapie.,Verschiedene Ansätze synergistisch zu kombinieren gibt überlegene Ergebnisse zur Monotherapie.,Erstelle mit dem Tierarzt einen integrierten Plan der Medikamente Physiotherapie und Ergänzungsmittel kombiniert.
fr,8,23,Compléments et médecine naturelle,intégration,La médecine intégrée fonctionne mieux que la thérapie unique.,Combiner différentes approches de façon synergique donne des résultats supérieurs à la monothérapie.,Construisez avec le vétérinaire un plan intégré combinant médicaments physiothérapie et compléments.
it,8,24,Integratori e medicina naturale,prevenzione,La prevenzione nutrizionale è il primo livello di cura.,Agire sull'alimentazione e sugli integratori prima dei sintomi è l'intervento più efficace.,Inizia oggi un piano di prevenzione nutrizionale per il tuo cane sano.
en,8,24,Supplements and natural medicine,prevention,Nutritional prevention is the first level of care.,Acting on nutrition and supplements before symptoms is the most effective intervention.,Start a nutritional prevention plan for your healthy dog today.
de,8,24,Nahrungsergänzungsmittel und Naturmedizin,Prävention,Nutritive Prävention ist die erste Pflegestufe.,Vor den Symptomen auf Ernährung und Ergänzungsmittel zu wirken ist die wirksamste Intervention.,Beginne heute einen Ernährungspräventionsplan für deinen gesunden Hund.
fr,8,24,Compléments et médecine naturelle,prévention,La prévention nutritionnelle est le premier niveau de soin.,Agir sur l'alimentation et les compléments avant les symptômes est l'intervention la plus efficace.,Commencez aujourd'hui un plan de prévention nutritionnelle pour votre chien sain.
it,8,25,Integratori e medicina naturale,integrazione,Il cibo del mare è una farmacia naturale.,Olio di krill salmone e sardine contengono omega-3 in forma altamente biodisponibile.,Valuta con il vet se integrare con fonti marine naturali di omega-3.
en,8,25,Supplements and natural medicine,integration,Sea food is a natural pharmacy.,Krill oil salmon and sardines contain omega-3 in a highly bioavailable form.,Evaluate with the vet whether to supplement with natural marine sources of omega-3.
de,8,25,Nahrungsergänzungsmittel und Naturmedizin,Ergänzung,Meeresfrüchte sind eine natürliche Apotheke.,Krillöl Lachs und Sardinen enthalten Omega-3 in einer hoch bioverfügbaren Form.,Bewerte mit dem Tierarzt ob mit natürlichen marinen Quellen von Omega-3 ergänzt werden soll.
fr,8,25,Compléments et médecine naturelle,intégration,Les fruits de mer sont une pharmacie naturelle.,L'huile de krill le saumon et les sardines contiennent des oméga-3 sous une forme hautement biodisponible.,Évaluez avec le vétérinaire s'il faut compléter avec des sources marines naturelles d'oméga-3.
it,8,26,Integratori e medicina naturale,integrazione,L'omeopatia si usa come complemento mai da sola.,Non ha prove scientifiche robuste: usarla solo in aggiunta mai in sostituzione della terapia principale.,Informa sempre il vet di qualsiasi terapia alternativa in uso per evitare interferenze.
en,8,26,Supplements and natural medicine,integration,Homeopathy is used as a complement never alone.,It lacks robust scientific evidence: use it only in addition never as a substitute for main therapy.,Always inform the vet of any alternative therapy in use to avoid interference.
de,8,26,Nahrungsergänzungsmittel und Naturmedizin,Ergänzung,Homöopathie wird als Ergänzung verwendet nie allein.,Sie verfügt über keine robusten wissenschaftlichen Belege: sie nur als Zusatz verwenden nie als Ersatz für die Haupttherapie.,Informiere den Tierarzt immer über jede verwendete alternative Therapie um Interferenzen zu vermeiden.
fr,8,26,Compléments et médecine naturelle,intégration,L'homéopathie s'utilise comme complément jamais seule.,Elle manque de preuves scientifiques robustes: l'utiliser seulement en plus jamais en substitution de la thérapie principale.,Informez toujours le vétérinaire de toute thérapie alternative utilisée pour éviter les interférences.
it,8,27,Integratori e medicina naturale,integrazione,La fisioterapia e gli integratori si potenziano a vicenda.,Usati insieme danno risultati superiori rispetto all'uso separato di ciascuno.,Parla con il vet di come integrare fisioterapia e integratori nel piano terapeutico.
en,8,27,Supplements and natural medicine,integration,Physiotherapy and supplements enhance each other.,Used together they give superior results compared to using each separately.,Talk with the vet about how to integrate physiotherapy and supplements in the treatment plan.
de,8,27,Nahrungsergänzungsmittel und Naturmedizin,Ergänzung,Physiotherapie und Nahrungsergänzungsmittel potenzieren sich gegenseitig.,Zusammen verwendet geben sie überlegene Ergebnisse im Vergleich zur separaten Verwendung jedes einzelnen.,Sprich mit dem Tierarzt darüber wie Physiotherapie und Ergänzungsmittel in den Therapieplan integriert werden können.
fr,8,27,Compléments et médecine naturelle,intégration,La physiothérapie et les compléments se potentialisent mutuellement.,Utilisés ensemble ils donnent des résultats supérieurs par rapport à l'utilisation séparée de chacun.,Parlez au vétérinaire de la façon d'intégrer physiothérapie et compléments dans le plan thérapeutique.
it,8,28,Integratori e medicina naturale,prevenzione,Iniziare gli omega-3 da giovane è prevenzione attiva.,Gli effetti antinfiammatori si accumulano nel tempo: prima si inizia maggiore è il beneficio.,Valuta con il vet l'integrazione con omega-3 anche per il tuo cane giovane e sano.
en,8,28,Supplements and natural medicine,prevention,Starting omega-3 from a young age is active prevention.,Anti-inflammatory effects accumulate over time: the earlier you start the greater the benefit.,Evaluate with the vet omega-3 supplementation even for your young healthy dog.
de,8,28,Nahrungsergänzungsmittel und Naturmedizin,Prävention,Omega-3 von jung an zu beginnen ist aktive Prävention.,Entzündungshemmende Wirkungen akkumulieren sich mit der Zeit: je früher man beginnt desto größer der Nutzen.,Bewerte mit dem Tierarzt die Omega-3-Ergänzung auch für deinen jungen gesunden Hund.
fr,8,28,Compléments et médecine naturelle,prévention,Commencer les oméga-3 dès le jeune âge est une prévention active.,Les effets anti-inflammatoires s'accumulent dans le temps: plus tôt on commence plus grand est le bénéfice.,Évaluez avec le vétérinaire la complémentation en oméga-3 même pour votre jeune chien sain.
it,8,29,Integratori e medicina naturale,integrazione,Ogni integratore ha il suo momento ottimale di somministrazione.,Alcuni funzionano meglio con il cibo altri a digiuno: il timing fa la differenza nell'assorbimento.,Chiedi al vet il momento migliore della giornata per somministrare ogni integratore.
en,8,29,Supplements and natural medicine,integration,Every supplement has its optimal administration time.,Some work better with food others on an empty stomach: timing makes a difference in absorption.,Ask the vet the best time of day to administer each supplement.
