name,name_it
Shiba Inu,Shiba Inu
Shih Tzu,Shih Tzu
Shiloh Shepherd,Shiloh Shepherd
Siberian Husky,Siberian Husky
Silky Terrier,Silky Terrier
Smooth Fox Terrier,Smooth Fox Terrier
Soft Coated Wheaten Terrier,Soft Coated Wheaten Terrier
Spanish Water Dog,Perro de agua español
Spinone Italiano,Spinone Italiano
Staffordshire Bull Terrier,Staffordshire Bull Terrier
Standard Schnauzer,Schnauzer standard
Swedish Vallhund,Vallhund svedese
Thai Ridgeback,Thai Ridgeback
Tibetan Mastiff,Mastino tibetano
Tibetan Spaniel,Spaniel tibetano
Tibetan Terrier,Terrier tibetano
Toy Fox Terrier,Toy Fox Terrier
Treeing Walker Coonhound,Treeing Walker Coonhound
Vizsla,Bracco ungherese (Vizsla)
Weimaraner,Weimaraner
Welsh Springer Spaniel,Welsh Springer Spaniel
West Highland White Terrier,West Highland White Terrier
Whippet,Whippet
White Shepherd,Pastore bianco svizzero
Wire Fox Terrier,Wire Fox Terrier
Wirehaired Pointing Griffon,Griffone a pelo duro
Wirehaired Vizsla,Vizsla a pelo duro
Xoloitzcuintli,Xoloitzcuintli
Yorkshire Terrier,Yorkshire Terrier
